[2023-07-06T11:36:06][2023-07-06T11:36:06][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:46][2023-07-06T11:37:46][2023-07-06T11:37:46][2023-07-06T11:37:46][2023-07-06T11:37:46] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [55] [Starting EmployeeMicroServiceApplication using Java 17.0.7 on Hp with PID 10692 (C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service\target\classes started by akash in C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service)] 
[2023-07-06T11:37:46] [INFO]  [org.springframework.boot.SpringApplication] [restartedMain] [631] [No active profile set, falling back to 1 default profile: "default"] 
[2023-07-06T11:37:48] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:37:48] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting service [Tomcat]] 
[2023-07-06T11:37:48] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting Servlet engine: [Apache Tomcat/9.0.76]] 
[2023-07-06T11:37:48] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing Spring embedded WebApplicationContext] 
[2023-07-06T11:37:48] [INFO]  [com.controller.EmployeeController] [restartedMain] [25] [list of employee object created...] 
[2023-07-06T11:37:48] [INFO]  [com.controller.EmployeeController] [restartedMain] [29] [3 employee record stored] 
[2023-07-06T11:37:48] [INFO]  [com.controller.EmployeeController] [restartedMain] [30] [size of employee 3] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [372] [Initializing Eureka in region us-east-1] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver] [restartedMain] [43] [Resolving eureka endpoints via configuration] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1007] [Disable delta property : false] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1008] [Single vip registry refresh property : null] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1009] [Force full registry fetch : false] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1010] [Application is null : false] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1011] [Registered Applications size is zero : true] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1013] [Application version is -1: true] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1097] [Getting all instance registry info from the eureka server] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1106] [The response status is 200] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1321] [Starting heartbeat executor: renew interval is: 30] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.InstanceInfoReplicator] [restartedMain] [60] [InstanceInfoReplicator onDemand update allowed rate per min is 4] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [492] [Discovery Client initialized at timestamp 1688623669743 with initial instances count: 1] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient$3] [restartedMain] [1352] [Saw local status change event StatusChangeEvent [timestamp=1688623669744, current=UP, previous=STARTING]] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [873] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191: registering service...] 
[2023-07-06T11:37:49] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting ProtocolHandler ["http-nio-9191"]] 
